Phillipston,WORCESTER,"1,693",PHILLIPSTON
Pittsfield,BERKSHIRE,"44,168",PITTSFIELD
Plainfield,HAMPSHIRE,646,PLAINFIELD
Plainville,NORFOLK,"8,440",PLAINVILLE
Plymouth,PLYMOUTH,"57,463",PLYMOUTH
Plympton,PLYMOUTH,"2,840",PLYMPTON
Princeton,WORCESTER,"3,436",PRINCETON
Provincetown,BARNSTABLE,"2,968",PROVINCETOWN
Quincy,NORFOLK,"93,027",QUINCY
Randolph,NORFOLK,"33,226",RANDOLPH
Raynham,BRISTOL,"13,504",RAYNHAM
Reading,MIDDLESEX,"25,192",READING
Rehoboth,BRISTOL,"11,739",REHOBOTH
Revere,SUFFOLK,"53,179",REVERE
Richmond,BERKSHIRE,"1,459",RICHMOND
Rochester,PLYMOUTH,"5,325",ROCHESTER
Rockland,PLYMOUTH,"17,580",ROCKLAND
Rockport,ESSEX,"7,063",ROCKPORT
Rowe,FRANKLIN,394,ROWE
Rowley,ESSEX,"5,966",ROWLEY
Royalston,WORCESTER,"1,263",ROYALSTON
Russell,HAMPDEN,"1,788",RUSSELL
Rutland,WORCESTER,"8,185",RUTLAND
Salem,ESSEX,"42,219",SALEM
Salisbury,ESSEX,"8,425",SALISBURY
Sandisfield,BERKSHIRE,919,SANDISFIELD
Sandwich,BARNSTABLE,"20,662",SANDWICH
Saugus,ESSEX,"27,338",SAUGUS
Savoy,BERKSHIRE,688,SAVOY
Scituate,PLYMOUTH,"18,173",SCITUATE
Seekonk,BRISTOL,"13,983",SEEKONK
Sharon,NORFOLK,"17,826",SHARON
Sheffield,BERKSHIRE,"3,233",SHEFFIELD
Shelburne,FRANKLIN,"1,898",SHELBURNE
Sherborn,MIDDLESEX,"4,199",SHERBORN
Shirley,MIDDLESEX,"7,546",SHIRLEY
Shrewsbury,WORCESTER,"36,077",SHREWSBURY
Shutesbury,FRANKLIN,"1,777",SHUTESBURY
Somerset,BRISTOL,"18,270",SOMERSET
Somerville,MIDDLESEX,"77,104",SOMERVILLE
South Hadley,HAMPSHIRE,"17,773",SOUTH HADLEY
Southampton,HAMPSHIRE,"5,932",SOUTHAMPTON
Southborough,WORCESTER,"9,854",SOUTHBOROUGH
Southbridge,WORCESTER,"16,799",SOUTHBRIDGE
Southwick,HAMPDEN,"9,575",SOUTHWICK
Spencer,WORCESTER,"11,749",SPENCER
